text_a,Target,label
marijuana? marijuaage equality ?? coincidence i think nOT !! 11!,Hillary Clinton,1
KoriWasinger JButtawipo she also voted for the Iraq war and was responsible for gathering TheDemocrats votes to support it.,Hillary Clinton,0
Ding Dong ____ _____ __ ____,Hillary Clinton,1
RT MaxTollensJr One percenter lied about being DeadBroke No more lies. NO to,Hillary Clinton,1
SLessard 100 agree. We need a woman like Hillary that can help this country get nursed back together!,Hillary Clinton,2
Much like you good people I forgot about my livetweetingbladerunner a couple weeks ago callback potroast cartography blue,Hillary Clinton,1
RandPaul HillaryClinton you could never dream to be as intelligent as she is,Hillary Clinton,2
"If Hillary will lock Americans in classrooms during her campaign, she will have no problems locking us all up whenever she wants.",Hillary Clinton,0
WhyImNotVotingForHillary she calls education a non family enterprise ImCommitted2DefeatHillary Are you? ncpol GOP,Hillary Clinton,0
"bristola48 AlciniaH Mahogany1992 stphil MzDivah67 Progress4Ohio graceslick77 AuntLulie deejayedee He cool, but NO",Hillary Clinton,1
Jeff_Nichols_82 HillaryforIA freedom_justice_equality_education for innovation and development to make happy_life in Utopia,Hillary Clinton,2
WhiteHouse BarackObama HillaryforIA BarackObama The whole world is supporting you.,Hillary Clinton,2
HillaryClinton Especially the paid union lackies who have no idea why their there. Propaganda machine spinning overtime.,Hillary Clinton,0
HillaryClinton The deceit hand? Thats a hand you know well. Right?,Hillary Clinton,0
AlyssSmithh There she is pant suite Hillary to hide those thighs HillarysDonors HillarysBigAnnouncement Benghazi Obama,Hillary Clinton,0
HillaryClinton will pick SenWarren for VP Mark my tweet. UnstoppableTicket ElizabethWarren,Hillary Clinton,2
I am going to apply for the Intern job,Hillary Clinton,1
TX_1 politicalmath Then you know how slippery snakes slither over shards of glass!,Hillary Clinton,1
46drhouse Be interesting to see how Hillary defends same when questioned. She will eventually have to answer questions.,Hillary Clinton,0
. HillaryClinton What is the ambient temperature in Hell today? Use that as a guide!,Hillary Clinton,0
"Gov. Chafee, why are you trying to make fetch happen. It is not going to happen.",Hillary Clinton,1
everydaysexism Only > ATikSalt < may say what sexism is. The rest of why all shut up.,Hillary Clinton,1
"tjhansen owillis serious, if trump runs you will get a trump tattoo? Calling the Donald !!",Hillary Clinton,1
"Everything about HillaryClinton is BOGUS. Her issues, her history, her Iowa trip, her Twitter followers, her campaigning",Hillary Clinton,0
hillaryclinton is a champion of data removal.,Hillary Clinton,0
FoundersGirl Artist_Angie I want the first female to be competent.,Hillary Clinton,0
Saudi Arabia imprisons & flogs rape victims. Women is champion HillaryClinton has accepted MILLIONS $$$ from Saudi govt tcot,Hillary Clinton,0
How much was Monica getting paid when Bill is burrito squirted sauce all over her pretty blue dress? MauraReynolds politico,Hillary Clinton,0
Go watch America Imagine A World Without Her. It will make you realize how lucky we are to live in the best country on Earth,Hillary Clinton,1
I suspect Hillary is Scooby Doo tour is being used as a distraction from ServerGate et al. NoObamaThirdTerm,Hillary Clinton,0
Breaking News Hillary trades campaign bus for a broomstick.,Hillary Clinton,0
"SoCaliMilitia1 CzarofFreedom That God for global warming melting icebergs, never gets prosecuted for her crimes Liberals",Hillary Clinton,0
Nothing says I am Every Woman like 10 Democrat staffers in a machine shop in Iowa right HillaryClinton? NotReadyForHillary,Hillary Clinton,0
"I d love for some reporter to ask, second Clinton, will you b returning the White House china, if elected? Or did you already hock it?",Hillary Clinton,0
Very simple the Clinton is are corrupt.,Hillary Clinton,0
. CaptYonah thehill Fine unethical or illegal quid professional quo uranium deal works for me.,Hillary Clinton,1
ConservatveGurl those of us that also have a brain will be voting against Hillary ...,Hillary Clinton,0
LifeNewsHQ tolerance at its best! Do as I say not as I do,Hillary Clinton,1
"Chris_1791 TruthRevolt That does t leave much to talk about, then, does it?",Hillary Clinton,1
I am thinking Hillary throws Chelsea under the bus to end Foundation firestorm. ClintonCash TheGreaterGood election2016,Hillary Clinton,0
FoxNews HappeningNow optics problem? No the real Hillary Clinton has stood up ClintonCash IaVotes,Hillary Clinton,0
HillaryClinton You can run but you ca t hide. ClintonFoundationscandal ClintonCash emailgate,Hillary Clinton,0
"In case of Emergency, Push THIS BUTTON to scrub server .....",Hillary Clinton,1
Great to see my mentor RepSusanDavis at DCinSD. And she is right we have the most qualified candidate ever running for POTUS.,Hillary Clinton,2
BarackObama Love_peace and peaceful coexistence of all no to violence and terrorism,Hillary Clinton,1
readyforHRC HillaryClinton Support encourage HillaryClinton president UnitedStates world is success of women in world,Hillary Clinton,2
I bet Leslie Knope would be so happy about,Hillary Clinton,2
"Also the $ 400, 000 speaking fees Hillary took from Goldman Sachs for two speeches. Joan_Vennochi",Hillary Clinton,0
readyforHRC Support encourage HillaryClinton president UnitedStates world is success of women in world,Hillary Clinton,2
NatureGuy101 MaryMorientes Support encourage HillaryClinton president UnitedStates world is success of women in world,Hillary Clinton,2
rebeccalipson freedom_justice_equality_education for innovation and development to make happy_life i Utopia,Hillary Clinton,1
Before leaving my dad is I took the liberty in framing and put up the pictures he has meeting Hillary and Bill Clinton in 92,Hillary Clinton,2
HillarysAccomplishments Being a total clusterfuck at anything she does. ReadyForHillary UniteBlue TopProg TPOT LibCrib,Hillary Clinton,0
RT. ChuckNellis. HillaryClinton name change it is no longer HRC it is now Hillary Uranium Benghazi Clinton. Take note.,Hillary Clinton,0
Hillary is on her way to Baltimore to be their champion. BaltimoreRiots,Hillary Clinton,2
"take faith that almost every political entity around you, whether dissident or not, serves no good purpose Dempublicans",Hillary Clinton,0
You denial of normal t have to be a lawyer to know the clinton violated ethics rules.,Hillary Clinton,0
Xxoax HillaryClinton MaryMorientes BarackObama The whole world is supporting you.,Hillary Clinton,2
HillaryClinton freedom_justice_equality_education for innovation and development to make happy_life i Utopia,Hillary Clinton,2
"So ClintonFdn, I believe Andrew Fastow beat you to the we made mistakes, as many organizations of our size do excuse",Hillary Clinton,0
I am 19 years old and care about politics and elections .... I feel like I am 67 years old,Hillary Clinton,1
HillaryClinton I notice that you didn t condemn the lawless actions of the rioters.,Hillary Clinton,0
Obama climate change or bush? Who to blame ...? Hillary right wing conspiracy in Baltimore. BalitmoreRiots,Hillary Clinton,0
"was t the original ScoobyVan also full of unemployed hippies & a stupid dog, who lived to meddle in other people is business?",Hillary Clinton,0
"In 2013 Clinton Foundation collected $ 140M and spent $ 9M on direct aid, in 2014 they raised $ 500M and spent $ 100M on direct aid!",Hillary Clinton,0
Students of BaylorUniversity are why all ready for MarcoRubio in 2016 BU Baylor Bears BaylorBears NewAmericanCentury GOP,Hillary Clinton,0
ChelseaClinton HRC Do you stand for BillClinton assaulting teen girls too? ReadyForHillary HillaryClinton Clinton2016,Hillary Clinton,0
Hey TexasState Bobcats I hope why all are ready for MarcoRubio 2016 TexasStateUniversity NewAmericanCentury Texas TCOT,Hillary Clinton,1
The only thing that I would pay money for is to hear Hillary Clinton say I QUIT and I am GUILTY that would be worth millions.,Hillary Clinton,0
"Hillary Clinton keeps sending me emails, and when I try to subscribe, I get an error message. THIS IS CANCER",Hillary Clinton,0
HillaryClinton BarackObama The whole world is supporting you.,Hillary Clinton,2
"Denial. It works for Hillary, why not the Mayor of Baltimore. DemocratLiesMatter",Hillary Clinton,0
Join the Twitter movement! RT or favorite for a mention or follow back!,Hillary Clinton,1
Wow RT greta Baltimore Orioles to play tomorrow but no public allowed BaltimoreRiots FreddieGray ThanksObama WakeUpAmerica,Hillary Clinton,1
Spoke to HillaryClinton today in New York City. Wow! So smart and impressive !!!,Hillary Clinton,2
HillaryClinton Says the millionaire politician who accepts $$$ from countries that execute gays. Hypocrite WakeUpAmerica,Hillary Clinton,0
"BernieSanders is running for president, denial of normal t the democrats already have one really old guy running ??",Hillary Clinton,0
297 days until I can register to vote !! 1 year 193 days until Election Day RockTheVote democrats everyvotecounts,Hillary Clinton,2
THEYRE NOT THUGS YOU TEAPARTY RACISTS THEY ARE COMMUNITY REORGANIZERS !! TCOT baltimoreriots,Hillary Clinton,1
Hillary will get past the primaries cause them voters denial of normal t think she can do any wrong. But she will be beat in November,Hillary Clinton,0
HillaryClinton loving the new colorful profile picture! loveit,Hillary Clinton,2
"HillaryClinton Did your rich Saudi donors, who execute gays, join the team? Hypocrite WakeUpAmerica",Hillary Clinton,0
"Also, I finally moved to FDCITY today! Will be much easier to get around going forward! moving",Hillary Clinton,1
I think I am going to vote for Monica Lewinsky is Ex boyfriends Wife,Hillary Clinton,2
And the working american tax payer keeps on paying for the unethical liberals who want to destroy this great country of ours.,Hillary Clinton,0
Hillary Clinton versus. Bernie Sanders primary will be like the brawl over applesauce at the retirement home. ReadyForHillary,Hillary Clinton,2
Too many women in too many countries speak the same language Í î of silence. HILLARY CLINTON HillaryCliton Hillary4Women,Hillary Clinton,2
Too many women in too many countries speak the same language of silence. HILLARY CLINTON HillaryCliton Hillary4Women,Hillary Clinton,2
"Always AOL instant messanger high, work hard, & care deeply about what you believe in ... when you stumble, keep faith. HILLARY CLINTON Faith4Hillary",Hillary Clinton,2
"It is time that we move from good words 2 good works, from sound bites 2 sound solutions HILLARY CLINTON HillaryClinton",Hillary Clinton,2
TheDemocrats DNCWomen I am down to help for 2016 election.,Hillary Clinton,2
How many poor kids could $ 2. 5 billion feed?,Hillary Clinton,1
Norsu2 secret Clinton docs? gee WHAT a surprise!,Hillary Clinton,0
Too far realDonaldTrump. That is just too fucking far. BaltimoreUprising Obama,Hillary Clinton,1
Hillary Clinton makes Nixon look like an amateur schoolboy ClintonCash ClintonFoundation Clinton,Hillary Clinton,0
thehill MamaHillary is making the case here & just exclusively how to deal with complex social issues. cnn bbc Mamaclinton,Hillary Clinton,2
". GoldenTalon johnmanko CassandraRules On the contrary, I am happy she will win. I enjoy seeing Liberal cities burn GO",Hillary Clinton,2
Whoever is up now let it be known that support for MarcoRubio never sleeps! We promote the NewAmericanCentury 24 / 7 Texas thanks,Hillary Clinton,0
Slate This is why Rand Paul will never be POTUS. BaltimoreUprising,Hillary Clinton,1
"_Poli_Ana_ No, she is got the BlackLivesMatter vote with / oh even talking to them. Most blacks are brainwashed by TheDemocrats",Hillary Clinton,0
If you reply not watching HillaryClinton is speech right now you reply missing her drop tons of wisdom.,Hillary Clinton,2
A proper introduction of Hillary Clinton should begin with five words Will the defendant please rise WhyImNotVotingForHillary,Hillary Clinton,0
YES! Community policing is answer to rebuilding trust in our communities between law enforcement and the people they serve.,Hillary Clinton,1
denial of normal t get it twisted. A major presidential candidate using her first policy speech to talk about mass incarcertaion.,Hillary Clinton,0
Hillary speak campaign rhetoric is going to be the death of me. jmarkwalk,Hillary Clinton,0
HillaryClinton A Rainbow logo? Did you know only 4 of the US is gay? 2010 Census. WhyImNotVotingForHillary,Hillary Clinton,0
Saw a bit of HillaryClinton is speech & I was proud to hear her plans for policy improvements in our justice system. Thanks!,Hillary Clinton,2
Anomaly100 I am confident that will piss off a few white Anglo Saxon Protestants! Keep talking Jeb.,Hillary Clinton,1
Upworthy HillaryClinton It should be illegal for an employer to discriminate against their workers. EqualityForAll,Hillary Clinton,2
"A body camera on every cop, private servers for Cabinet Secretaries.",Hillary Clinton,1
JohnKerry BALWANIKAPIL HillaryClinton StateDept tomperriello I didn t realize PayToPlayDiplomacy was such a big hit!,Hillary Clinton,0
"VRWCTexan WOW, she is one to talk",Hillary Clinton,0
RT FutureTXLeader Are why all at UTEP ready for MarcoRubio in 2016 Miners LadyMiners UniversityOfTexasElPaso Rubio New ...,Hillary Clinton,1
RT FutureTXLeader Are why all TexasTech RedRaiders ready for MarcoRubio in 2016 TTU TexasTechUniversity Rubio Texas and ...,Hillary Clinton,0
RT FutureTXLeader Who in CorpusChristi is ready for MarcoRubio in 2016 Hooks CC Texas thanks 361 KeepTexasRed GOP Tea ...,Hillary Clinton,0
"I have been doing my reading and I do have to to say, I am wildly impressed by Hillary Clinton",Hillary Clinton,2
"zacharyebell Thank you 4the follow. God bless you and those you love! God bless America, may she always be the land of the free!",Hillary Clinton,1
BarackObama thanks for selling out all the workers who voted for you for pushing FastTrack sellout,Hillary Clinton,1
As late as 2013 HillaryClinton opposed marriage equality.,Hillary Clinton,0
thehill all the more reason to vote Democrat in 2016. ACAworks GetMoneyOut RestoreTheVRA Bernie2016 waronpoverty,Hillary Clinton,2
RT Glenn_Hegar Follow if you stand against Hillary in 2016!,Hillary Clinton,0
I can vote in 2016 after all ayyyyyyyyyy,Hillary Clinton,1
"jstines3 WoodenThreat Open mouth, reveal heart Margaret Sanger, architect for black genocide larryelder TheFive HillarySoWhite",Hillary Clinton,0
I am still so happy my voter ID came in the mail,Hillary Clinton,1
Great conversation last night with / schoolbus_soul & zaksteib Great connections in Waverly & on my turf! FellowsIA CommitToCaucus,Hillary Clinton,1
HillaryClinton is hiring Monsanto lawyers to help her become President. The next president should t be aided by Monsanto,Hillary Clinton,0
marymorientes Love it. It happens in my world too!,Hillary Clinton,1
Froquesha you get me that book yeah?,Hillary Clinton,1
RT putterrod IngrahamAngle Republicans everywhere are looking for someone to lead. A leader not a liar.,Hillary Clinton,0
This weekend is the Hillary For America Weekend of Action & I hope you will participate. L California,Hillary Clinton,2
"It is good that after 30 years in public service with zero accomplishments, Hillary is finally ready 2 serve the public! saying ""lol"" out loud",Hillary Clinton,0
"We reply out here in G town, and where are you sctweets",Hillary Clinton,1
jstines3 bcwilliams92 Stephens begged for his life & HillaryClinton Madam_President is begging for your vote NotAChanceInHell,Hillary Clinton,0
RT spanglishpop Thanks GOP keep sending in the clowns! It makes this upcoming election very entertaining latinos2016 Rock ...,Hillary Clinton,1
ThingsYouDontSayAsAPolitician I denial of normal t feel no ways tired. Go to the back of the line. What difference does it make?,Hillary Clinton,1
Laughing at the Republican Party. The BEST they can offer is DonaldTrump and JebBush? HillaryClinton has got this!,Hillary Clinton,2
"Temp15544 icedecay BrooklynJuggler classic_mouth In this context, to all practical extents and purposes? It means",Hillary Clinton,1
Just met an awesome supporter on the CX bus! He said Hillary is one strong woman and we need that for our country. FellowsNV,Hillary Clinton,2
"Hilary has lied, deleted Benghazi emails, and betrayed the trust of Americans scandal after scandal.",Hillary Clinton,0
"Hillary has lied, deleted Benghazi emails, and betrayed the trust of Americans scandal after scandal.",Hillary Clinton,0
"In high school, decided to be the first woman president in 2016, but I never got into politics & denial of normal t have Trump is money.",Hillary Clinton,1
Thanks izzybugatti for participating! WE are lucky to have YOU here in Iowa. FellowsIA,Hillary Clinton,1
"jilevin strumpetcity Yes. You make me proud. Socialism is the answer, which leads to communism. We will succeed.",Hillary Clinton,1
"GOP Obamacare stays and the Confederate flag goes. You guys have had quite the shitty week, haven t you?",Hillary Clinton,1
Come visit me at the Jefferson County Fair! Representative Curt Hanson will tell a joke and I will tell a story about why vote,Hillary Clinton,1
I am proud to announce I support HillaryClinton !!!!,Hillary Clinton,2
Excited to be working with some great FellowsSC this summer. They reply some pretty great people that are fired up for LetsGo,Hillary Clinton,1
Federal gov t social spending 61 of budget. Federal gov t defense spending 22 of budget. Something is definitely wrong here.,Hillary Clinton,1
HillaryClinton literally the greatest video I have ever seen.,Hillary Clinton,2
washingtonpost sir sorry mae bye bharat mool Kick a** Hey you par my hart is for democraet and,Hillary Clinton,1
ChelseaClinton is mom has got it going on! POTUS ChelseasMom,Hillary Clinton,2
"America needs a champion! H No thanks, HillaryClinton we denial of normal t need a champion, especially if you reply that champion.",Hillary Clinton,0
Would that the rest of us were able to escape from Clinton as well ClintonCorrectional HillaryClinton escapeClinton,Hillary Clinton,0
HillaryClinton Awesome video! Vote for Chelsea is mom.,Hillary Clinton,2
Hilliary I provided all work related emails State Dept There are work related emails you didn t provide Hillaredacted,Hillary Clinton,0
"CarlyFiorina on hannity, very impressive. A serious presidential candidate versus. A bad actress.",Hillary Clinton,0
"LeighStorz jstines3 Totally agree, Hillary is an incompetent scandal ridden phony.",Hillary Clinton,0
"This Friday is, officially, Political Incorrectness day! All day say whatever you want and offend everyone! Yay! tcot 2A PC",Hillary Clinton,1
"FoxNews report shows you. is. State Department cannot locate 15 of Hillary Clinton is Private Emails. Not so fast, Hillary!",Hillary Clinton,0
Callisto1947 texasman2008 AmyMek Hillary is new Campaign Slogan HILLARY NOTHING TO HIDE EXCEPT THE TRUTH !!! TCOT CCOT,Hillary Clinton,0
I really need my new HillaryClinton shirt to come in. Meeting some people at the brewery same night as a Bernie meetup there.,Hillary Clinton,2
"Donald Trump is a joke. His a simpleminded idiot, and I have nothing else to say about him. He can go FUCK him self.",Hillary Clinton,1
HillaryClinton ca_hillary stand on the right side,Hillary Clinton,2
HillaryClinton said AllLivesMatter just like she said marriage was between a man and a woman! Giver her a few more years,Hillary Clinton,0
HillaryDebateQuestion So you profess admiration for MargaretSanger who wanted to rid the country of negros. Explain please?,Hillary Clinton,0
RT mcirelli92 Hillary for the win,Hillary Clinton,2
why did randpaul take donations from a WhiteSupremacy group after shaking hands with black leaders? BlackLivesMatter gop,Hillary Clinton,1
clairecmc RosieGray is that why she and ClintonGlobal take that Saudi money? SaudiCables SaudiCables clinton2016,Hillary Clinton,0
petefrt this is how GOP needs to be handling campaign not attacking each other but showing all hillary fails. uniteright,Hillary Clinton,0
Molls30 HillaryClinton I love it! One of our biggest donors is Saudi Arabia. They support women is rights completely! GoTeam,Hillary Clinton,0
HillaryClinton Did you feel same about BillClinton is latest assault of teen girl? hypocrite HillaryClinton Hillary_2016_NO,Hillary Clinton,0
My vote is definitely for Hillary. I denial of normal t want Bush is dumb ass. denial of normal t want Trump either. HillaryClinton,Hillary Clinton,2
"I am in a better place now that I got some coffee, now time to grow these grassroots sctweets",Hillary Clinton,1
"SCOTUS_Scalia Right. Words no longer have meaning. Like clinton, It depends on what the meaning of is is. More if we denial of normal t",Hillary Clinton,0
tedcruz won t be there. I am supporting HillaryClinton for President. lgbtrights ACAWorks,Hillary Clinton,2
"GideonHenry First SCOTUS reaffirms Obamacare, then it legalize gay marriage. Your world is crumbling!",Hillary Clinton,1
What a huge win for America! Today is absolutely historic. EqualityWins SCOTUSMarriage,Hillary Clinton,1
My sexy daddy Obama had two wins this week. Happy for him & democrats,Hillary Clinton,1
TODAYshow Hillary is emails missing and incomplete? Who d of thunk it ?? JUST TRUST ME !!!,Hillary Clinton,0
vacanti samglover Maybe a woman should be President.,Hillary Clinton,2
Today LOVE won and Hate was defeated. MorningJoe UnitedBlue,Hillary Clinton,1
"Obama is riding high !! ObamaCare LoveWins Republicans tearing out their hair, whatever is left of it .. Next is SCOTUS",Hillary Clinton,1
Thank you HillaryClinton for your support of the LGBT community. On this historic day I thank you for giving us hope.,Hillary Clinton,2
"A Black President, Healthcare 4 all, Marriage Equality ... what is next ?.. a Woman President ?! Damn RIGHT! SCOTUS MarriageEquality",Hillary Clinton,2
"RT muradguderian Democrats are Red, Obama is a Communist, I am a true Patriot, So stop Hillary. tcot",Hillary Clinton,0
CBSThisMorning Emails missing and incomplete? Who d of thunk it? I am ABOVE THE LAW and the rest of you peons! JUST TRUST ME!,Hillary Clinton,0
Who is monica Lewinsky is favorite football player? Ha Ha Clinton Dix,Hillary Clinton,0
"SCOTUS dealt a blow to Hillary clinton last campaign promise ... What is she running on now? Corruption, lies, and deceit.",Hillary Clinton,0
"Do America a favor, If you feel you must vote for a woman candidate, Vote for Carly2016 who at least has integrity unlike",Hillary Clinton,0
Getting another HillaryClinton bumper sticker because LoveWins and 2 just was t enough,Hillary Clinton,2
pamnsc TRPhrophet RamblingMother Thank you for Real-time strategy !!! WakeUpAmerica dumpboehner ditchmitch,Hillary Clinton,1
"gerfingerpoken2 he made a careless mistake, she deliberately broke many laws & still lies about it.",Hillary Clinton,0
Very excited to hear Sen. Klobuchar speak today!,Hillary Clinton,1
PolitiBunny Seja75 hubbit HillaryClinton I am voting in the Democrat primary this year ... to support BernieSanders.,Hillary Clinton,0
My liberty depends on you being free too. President Obama,Hillary Clinton,1
NRO Does johnpodesta have any grasp on reality? I need more than 140 characters to address someone as naive as this man.,Hillary Clinton,1
JewboyDonny oh I know he won t he f**ked himself over in the beginning,Hillary Clinton,1
"I called everyone I knew and raised $ 17, 000 from ex boyfriends Sen. Klobuchar",Hillary Clinton,1
Great that HillaryClinton attended ClementaPinckney is funeral today !!,Hillary Clinton,2
"WonderWoman movie, TheMuppets television show, StarWarsVII, MarriageEquaility Obama. I guess I can leave social media now. Oh wait",Hillary Clinton,1
politico Remember when millions of GWBush is emails went missing or deleted reply Iraq War and nobody had a hearing? Yawn!,Hillary Clinton,1
LoveWins on the day I get my Hillary gear! Yaaas Pride,Hillary Clinton,2
thegirlwithfood though. But there are people saying they just aren t going to vote at all which is ridiculous so,Hillary Clinton,1
RT ZerlinaMaxwell Huge cheer for universal child care and early childhood education.,Hillary Clinton,1
Hillary stop pretending you were supporting the LGBT people when you opposed them until 2013. You are a lying conniving human,Hillary Clinton,0
tedcruz IamTheWindowMan GET OUT OF MY STATE YOU BUM! UniteBlue,Hillary Clinton,1
Whatever is the GOP going to do now with both marriage equality and the ACA? Going to be fun to watch!,Hillary Clinton,1
occupycorruptDC she ain t no ways tired of being a dumbass,Hillary Clinton,1
"I AM A CROOK ... and I like it, like it, yes I do HillaryCampaignSlogan WakeUpAmerica StopHillary2016 specialreport",Hillary Clinton,0
